CUSIP,SEDOL_GIM,DESC1_GIM,S_CALCODE_GIM,ID_CUSIP_BB,ID_SEDOL1_BB,SECURITY_DES_BB,DAY_CNT_BB,CUSIP_GIM,ID_CUSIP_BB,DISCP_COMMENTS,DESC1_GIM,SECURITY_DES_BB,DISCP_COMMENTS,SEDOL_GIM,ID_SEDOL1_BB,DISCP_COMMENTS,ISIN_GIM,ID_ISIN_BB,DISCP_COMMENTS,EUROCLEAR_GIM,ID_EUROCLEAR_BB,DISCP_COMMENTS,TICKER_GIM,TICKER_BB,DISCP_COMMENTS,COUNTRY_GIM,COUNTRY_ISO_BB,DISCP_COMMENTS,STATE_GIM,STATE_CODE_BB,DISCP_COMMENTS,PAY_CUR_GIM,CPN_CRNCY_BB,DISCP_COMMENTS,FST_DATE_GIM,FIRST_CPN_DT_BB,DISCP_COMMENTS,LST_DATE_GIM,PENULTIMATE_CPN_DT_BB,DISCP_COMMENTS,MAT_DATE_GIM,MATURITY_BB,DISCP_COMMENTS,ISSDATE_GIM,ISSUE_DT_BB,DISCP_COMMENTS,CNV_SNK_GIM,CONVERTIBLE_BB,DISCP_COMMENTS,FREQ_GIM,CPN_FREQ_BB,DISCP_COMMENTS,PAY_CURR_GIM,CRNCY_BB,DISCP_COMMENTS,BETA_GIM,EQY_BETA_BB,DISCP_COMMENTS,EXCHANGE_GIM,EQY_PRIM_EXCH_SHRT_BB,DISCP_COMMENTS,SHR_OUT_GIM,EQY_SH_OUT_REAL_BB,DISCP_COMMENTS,S_CALCODE_GIM,DAY_CNT_BB,DISCP_COMMENTS,EARN_12_GIM,IS_EPS_BB,DISCP_COMMENTS,ORG_PRICE_GIM,ISSUE_PX_BB,DISCP_COMMENTS,SECTOR_GIM,GICS_SECTOR_BB,DISCP_COMMENTS,INDUSTRY_GIM,GICS_INDUSTRY_BB,DISCP_COMMENTS,SUB INDUSTRY_GIM,GICS_SUB_INDUSTRY_BB,DISCP_COMMENTS,S_DELAY_GIM,MTG_PAY_DELAY_BB,DISCP_COMMENTS,POOL_NO_GIM,MTG_POOL_NUMBER_BB,DISCP_COMMENTS,SHR_OUT_1_GIM,AMT_OUTSTANDING_BB,DISCP_COMMENTS,AMT_FLG_GIM,MUNI_MIN_TAX_BB,DISCP_COMMENTS,CALPRC_GIM,OPT_STRIKE_PX_BB,DISCP_COMMENTS,TAX_STATUS_GIM,MUNI_FED_TAX_BB,DISCP_COMMENTS,MARGIN_GIM,IS_STK_MARGINABLE_BB,DISCP_COMMENTS,FLAG_13F_GIM,SEC_RESTRICT_BB,DISCP_COMMENTS,U_SYMBOL_GIM,UNDERLYING_CUSIP_BB,DISCP_COMMENTS,INC_RATE_FI_GIM,CPN_BB,DISCP_COMMENTS,INC_RATE_EQ_GIM,EQY_IND_DPS_ANNUAL_NET_BB,DISCP_COMMENTS,OPT_EXPIRE_DT_GIM,OPT_EXPIRE_DT_BB,DISCP_COMMENTS,WRT_EXPIRE_DT_GIM,WRT_EXPIRE_DT_BB,DISCP_COMMENTS
956553TD3,,WV STATE GO,901,956553TD3, ,956553TD3,29,956553TD3,956553TD3,MATCHING,WV STATE GO,956553TD3,MISMATCH,,,MATCHING,US956553TD32,US956553TD32,MATCHING,,,MATCHING,,WVS,MISMATCH,US,US,MATCHING,,WV,MISMATCH,USD,,MISMATCH,6/1/2005,6/1/2005,MATCHING,12/31/1899,12/1/2012,MISMATCH,6/1/2013,6/1/2013,MATCHING,5/26/2005,5/26/2005,MATCHING,0,,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,29,MISMATCH,0,,MISMATCH,110.771,110.771,MATCHING,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,,,MATCHING,0,23665000,MISMATCH,N,N,MATCHING,0,,MISMATCH,T,N,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,5,5,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
828807CG0,B64YB06,SIMON PROPERTY GROUP L.P.,901,828807CG0,B64YB06,SPG 4 1/8 12/01/21,5,828807CG0,828807CG0,MATCHING,SIMON PROPERTY GROUP L.P.,SPG 4 1/8 12/01/21,MISMATCH,B64YB06,B64YB06,MATCHING,US828807CG09,US828807CG09,MATCHING,,,MATCHING,,SPG,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,6/1/2012,6/1/2012,MATCHING,12/31/1899,6/1/2021,MISMATCH,12/1/2021,12/1/2021,MATCHING,11/16/2011,11/16/2011,MATCHING,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,5,MISMATCH,0,N.A.,MISMATCH,99.689,99.689,MATCHING,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,,,MATCHING,0,700000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,4.125,4.125,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
24422ERL5,,JOHN DEERE CAPITAL CORP,901,24422ERL5,B7956K6,DE 2 01/13/17,5,24422ERL5,24422ERL5,MATCHING,JOHN DEERE CAPITAL CORP,DE 2 01/13/17,MISMATCH,,B7956K6,MISMATCH,US24422ERL55,US24422ERL55,MATCHING,,,MATCHING,,DE,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,7/13/2012,7/13/2012,MATCHING,12/31/1899,7/13/2016,MISMATCH,1/13/2017,1/13/2017,MATCHING,12/2/2011,12/2/2011,MATCHING,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,5,MISMATCH,0,N.A.,MISMATCH,99.887,99.887,MATCHING,0,40,MISMATCH,0,402020,MISMATCH,0,40202010,MISMATCH,0,,MISMATCH,,,MATCHING,0,500000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,2,2,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
3138EHG71,,FNMA 15YR,601,3138EHG71, ,FN AL1121,104,3138EHG71,3138EHG71,MATCHING,FNMA 15YR,FN AL1121,MISMATCH,,,MATCHING,US3138EHG715,US3138EHG715,MATCHING,,,MATCHING,,FN,MISMATCH,US,US,MATCHING,,,MATCHING,USD,,MISMATCH,12/1/2011,12/25/2011,MISMATCH,12/31/1899,,MISMATCH,12/1/2026,12/1/2026,MATCHING,11/1/2011,11/1/2011,MATCHING,0,,MISMATCH,12,12,MATCHING,USD,USD,MATCHING,0,N.A.,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,601,104,MISMATCH,0,,MISMATCH,100,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,24,24,MATCHING,AL1121,AL1121,MATCHING,0,216975238.4,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,3.5,3.5,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
92343VBE3,B73YQP4,VERIZON COMMUNICATIONS INC,901,92343VBE3,B73YQP4,VZ 4 3/4 11/01/41,5,92343VBE3,92343VBE3,MATCHING,VERIZON COMMUNICATIONS INC,VZ 4 3/4 11/01/41,MISMATCH,B73YQP4,B73YQP4,MATCHING,US92343VBE39,US92343VBE39,MATCHING,,,MATCHING,,VZ,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,5/1/2012,5/1/2012,MATCHING,12/31/1899,5/1/2041,MISMATCH,11/1/2041,11/1/2041,MATCHING,11/3/2011,11/3/2011,MATCHING,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,5,MISMATCH,0,0.9,MISMATCH,100,99.068,MISMATCH,0,50,MISMATCH,0,501010,MISMATCH,0,50101020,MISMATCH,0,,MISMATCH,,,MATCHING,0,750000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,4.75,4.75,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
755111BV2,,RAYTHEON COMPANY,901,755111BV2,B76QW15,RTN 1.4 12/15/14,5,755111BV2,755111BV2,MATCHING,RAYTHEON COMPANY,RTN 1.4 12/15/14,MISMATCH,,B76QW15,MISMATCH,US755111BV23,US755111BV23,MATCHING,,,MATCHING,,RTN,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,6/15/2012,6/15/2012,MATCHING,12/31/1899,6/15/2014,MISMATCH,12/15/2014,12/15/2014,MATCHING,12/6/2011,12/6/2011,MATCHING,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,5,MISMATCH,0,4.94,MISMATCH,99.879,99.879,MATCHING,0,20,MISMATCH,0,201010,MISMATCH,0,20101010,MISMATCH,0,,MISMATCH,,,MATCHING,0,575000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,1.4,1.4,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
47009WAA9,,PHARMACEUTICAL PRODUCT DEV INC,901,47009WAA9,B5MBLD5,PPDI 9 1/2 12/01/19,5,47009WAA9,47009WAA9,MATCHING,PHARMACEUTICAL PRODUCT DEV INC,PPDI 9 1/2 12/01/19,MISMATCH,,B5MBLD5,MISMATCH,US47009WAA99,US47009WAA99,MATCHING,,,MATCHING,,PPDI,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,6/1/2012,6/1/2012,MATCHING,12/31/1899,6/1/2019,MISMATCH,12/1/2019,12/1/2019,MATCHING,12/5/2011,12/5/2011,MATCHING,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,5,MISMATCH,0,,MISMATCH,100,100,MATCHING,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,,,MATCHING,0,575000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,9.5,9.5,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
31394NZH4,,FHLMC_2737,601,31394NZH4, ,FHR 2737 YC,104,31394NZH4,31394NZH4,MATCHING,FHLMC_2737,FHR 2737 YC,MISMATCH,,,MATCHING,US31394NZH42,US31394NZH42,MATCHING,,,MATCHING,,FHR,MISMATCH,US,US,MATCHING,,,MATCHING,USD,,MISMATCH,2/1/2004,2/15/2004,MISMATCH,12/31/1899,,MISMATCH,2/15/2029,2/15/2029,MATCHING,1/1/2004,1/1/2004,MATCHING,0,,MISMATCH,12,12,MATCHING,USD,USD,MATCHING,0,N.A.,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,601,104,MISMATCH,0,,MISMATCH,100,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,14,14,MATCHING,,,MATCHING,0,3888986.1,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,5,5,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
29264FAJ5,B6TB8H8,ENDO PHARMACEUTICALS HOLDINGS,901,29264FAJ5,B6TB8H8,ENDP 7 1/4 01/15/22,5,29264FAJ5,29264FAJ5,MATCHING,ENDO PHARMACEUTICALS HOLDINGS,ENDP 7 1/4 01/15/22,MISMATCH,B6TB8H8,B6TB8H8,MATCHING,US29264FAJ57,US29264FAJ57,MATCHING,,,MATCHING,,ENDP,MISMATCH,US,US,MATCHING,,,MATCHING,USD,USD,MATCHING,1/15/2012,1/15/2012,MATCHING,12/31/1899,7/15/2021,MISMATCH,1/15/2022,1/15/2022,MATCHING,6/8/2011,11/30/2011,MISMATCH,0,N,MISMATCH,2,2,MATCHING,USD,USD,MATCHING,0,,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,901,5,MISMATCH,0,2.23,MISMATCH,100,,MISMATCH,0,35,MISMATCH,0,352020,MISMATCH,0,35202010,MISMATCH,0,,MISMATCH,,,MATCHING,0,400000000,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,7.25,7.25,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
75115AAD3,,RALI_06-QS8,601,75115AAD3, ,RALI 2006-QS8 A4,104,75115AAD3,75115AAD3,MATCHING,RALI_06-QS8,RALI 2006-QS8 A4,MISMATCH,,,MATCHING,US75115AAD37,US75115AAD37,MATCHING,,,MATCHING,,RALI,MISMATCH,US,US,MATCHING,,,MATCHING,USD,,MISMATCH,8/25/2006,8/25/2006,MATCHING,12/31/1899,,MISMATCH,8/25/2036,8/25/2036,MATCHING,7/25/2006,7/25/2006,MATCHING,0,,MISMATCH,12,12,MATCHING,USD,USD,MATCHING,0,N.A.,MISMATCH,OTC,,MISMATCH,0,,MISMATCH,601,104,MISMATCH,0,,MISMATCH,100,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,,MISMATCH,0,0,MATCHING,,,MATCHING,0,54381852.64,MISMATCH,N,,MISMATCH,0,,MISMATCH,T,,MISMATCH,Y,,MISMATCH,Y,,MISMATCH,,,MATCHING,0.70722,0.70722,MATCHING,,,MATCHING,,,MATCHING,,,MATCHING
